domain_name,org
nutrition.gov,Department of Agriculture
aviationweather.gov,Department of Commerce
pnnl.gov,Department of Energy
pppl.gov,Department of Energy
acl.gov,Department of Health and Human Services
inl.gov,Department of Energy
afterschool.gov,Department of Health and Human Services
bea.gov,Department of Commerce
aging.gov,Department of Health and Human Services
agingstats.gov,Department of Health and Human Services
buyusa.gov,Department of Commerce
ahcpr.gov,Department of Health and Human Services
niem.gov,Department of Homeland Security
salmonrecovery.gov,Department of Energy
ahrq.gov,Department of Health and Human Services
isotopes.gov,Department of Energy
commerce.gov,Department of Commerce
nuclear.gov,Department of Energy
mymoney.gov,Department of Treasury
betobaccofree.gov,Department of Health and Human Services
bioethics.gov,Department of Health and Human Services
brainhealth.gov,Department of Health and Human Services
myra.gov,Department of Treasury
cancer.gov,Department of Health and Human Services
scijinks.gov,National Aeronautics and Space Administration
aids.gov,Department of Health and Human Services
biometrics.gov,Department of Homeland Security
bankcustomer.gov,Department of Treasury
bankhelp.gov,Department of Treasury
banknet.gov,Department of Treasury
doc.gov,Department of Commerce
selectagents.gov,Department of Health and Human Services
cbp.gov,Department of Homeland Security
cdc.gov,Department of Health and Human Services
simplereport.gov,Department of Health and Human Services
drought.gov,Department of Commerce
cisa.gov,Department of Homeland Security
childcare.gov,Department of Health and Human Services
cpnireporting.gov,Department of Homeland Security
smokefree.gov,Department of Health and Human Services
eda.gov,Department of Commerce
cyber.gov,Department of Homeland Security
cybersecurity.gov,Department of Homeland Security
cdfifund.gov,Department of Treasury
complaintreferralexpress.gov,Department of Treasury
export.gov,Department of Commerce
directoasucuenta.gov,Department of Treasury
childwelfare.gov,Department of Health and Human Services
firstnet.gov,Department of Commerce
goes-r.gov,Department of Commerce
gps.gov,Department of Commerce
clinicaltrials.gov,Department of Health and Human Services
eyenote.gov,Department of Treasury
federalinvestments.gov,Department of Treasury
fedinvest.gov,Department of Treasury
ffb.gov,Department of Treasury
stopalcoholabuse.gov,Department of Health and Human Services
financialresearch.gov,Department of Treasury
financialstability.gov,Department of Treasury
godirect.gov,Department of Treasury
helpwithmycheckingaccount.gov,Department of Treasury
helpwithmycreditcard.gov,Department of Treasury
helpwithmycreditcardbank.gov,Department of Treasury
helpwithmymortgage.gov,Department of Treasury
cms.gov,Department of Health and Human Services
